lat,lon,temp_c,wind_ms,solar_wm2,precip_mm,water_dist_m,road_dist_m,building_dist_m,s_temperature,s_wind,s_solar,s_precipitation,s_water,s_road,s_land_cover,s_building,suitability,ml_suitability
-4.6200,33.9600,,,,,339998.0670,345129.7971,353617.3897,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.6200,34.0600,,,,,332572.4698,340776.6591,348118.3152,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.6200,34.1600,,,,,325360.7533,336737.5806,342599.4120,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.6200,34.2600,,,,,318377.2538,333023.8087,337100.5803,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.6200,34.3600,,,,,311637.1170,329646.1608,331705.3474,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.6200,34.4600,,,,,305156.2725,326614.8907,326129.2226,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.6200,34.5600,,,,,298951.3887,321925.4961,320711.1902,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.6200,34.6600,,,,,293039.8017,317165.0717,315175.8053,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.6200,34.7600,,,,,287439.4160,311970.0275,309806.6262,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.6200,34.8600,,,,,282168.5712,306561.4929,304528.6443,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.6200,34.9600,,,,,277245.8748,301468.3932,298828.4240,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.6200,35.0600,,,,,272689.9960,296706.7996,293277.4322,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.6200,35.1600,,,,,268519.4234,291004.8377,287909.7666,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
