,lat,lon,ml_suitability,suitability,temp_c,wind_ms,precip_mm,water_dist_m
1,-2.0200,36.2600,0.7792,0.7831,26.4904,0.9209,15628.3326,317.0595
2,0.3800,35.8600,0.7782,0.7899,22.1109,0.7191,22650.1001,70.5186
3,2.6800,35.3600,0.7746,0.7854,28.3230,1.9553,12811.4940,154.4178
4,-1.3200,36.9600,0.7745,0.7866,19.3925,2.3003,13814.8456,35.6342
5,-0.3200,38.2600,0.7743,0.7936,25.9457,2.4130,13963.3385,291.2819
6,0.0800,36.0600,0.7727,0.7892,20.1699,0.8652,27063.7693,638.9485
7,-0.8200,37.7600,0.7711,0.7853,22.9754,2.0373,12997.7870,528.7850
8,-1.7200,36.6600,0.7705,0.7742,21.3153,2.1477,15341.3243,473.6589
9,-0.8200,37.2600,0.7679,0.7899,20.6757,1.0668,15911.2898,621.7580
10,-0.0200,37.8600,0.7654,0.7741,22.6702,1.9080,14279.3475,641.3723
11,-1.8200,36.6600,0.7630,0.7586,21.4184,2.2430,14764.7674,575.8119
12,0.5800,35.0600,0.7607,0.7668,18.5824,1.0289,19655.4318,443.7756
13,-1.8200,35.9600,0.7600,0.7773,21.5003,1.6121,17642.9860,378.9689
14,0.0800,35.0600,0.7588,0.7757,19.5871,0.6144,29332.8803,94.8509
15,0.2800,36.6600,0.7576,0.7711,18.4569,1.8093,17479.7522,379.4063
16,-1.5200,36.5600,0.7547,0.7587,21.5326,1.9247,14455.7107,580.5727
17,-2.2200,40.7600,0.7528,0.7586,27.3741,4.0217,15870.6043,298.4430
18,3.6800,35.1600,0.7513,0.7620,28.7182,3.5528,13371.0618,312.6165
19,-2.1200,37.0600,0.7500,0.7668,20.6476,2.4303,13267.0175,353.3756
20,-3.5200,38.2600,0.7484,0.7732,21.9293,2.4357,15103.1165,418.3371
