,lat,lon,ml_suitability,suitability,temp_c,wind_ms,precip_mm,water_dist_m
1,1.1800,35.5600,0.8522,0.8837,18.6987,0.7568,1451.1743,316.0466
2,1.2800,35.5600,0.8441,0.8601,19.1858,0.7161,1533.2564,564.4687
3,1.0800,35.3600,0.8387,0.8683,16.7471,0.7951,1082.5683,1211.5014
4,1.4800,35.3600,0.8206,0.8609,21.0458,0.9688,708.0270,1573.8827
5,1.0800,35.6600,0.7979,0.8343,21.3859,0.7237,725.4651,136.3186
6,1.1800,35.2600,0.7921,0.8235,16.5874,0.5778,1053.7228,2547.6636
7,0.3800,35.8600,0.7868,0.7937,22.1109,0.7191,248.2203,72.6406
8,0.3800,35.7600,0.7846,0.7915,21.1733,0.8320,243.8720,127.0360
9,-1.8200,35.9600,0.7835,0.7957,21.5003,1.6121,193.3478,374.5677
10,-0.8200,37.2600,0.7826,0.8038,20.6757,1.0668,174.3703,329.6310
11,0.3800,36.2600,0.7824,0.7951,19.7337,1.2525,368.8987,157.8929
12,0.0800,36.0600,0.7823,0.7996,20.1699,0.8652,296.5892,622.8380
13,0.5800,35.8600,0.7787,0.7916,23.5087,0.6400,273.8422,360.7292
14,-1.4200,37.9600,0.7774,0.7897,22.3860,2.3726,167.8597,195.2907
15,-0.0200,37.8600,0.7771,0.7972,22.6702,1.9080,156.4860,226.7708
16,1.1800,35.1600,0.7756,0.8042,17.1635,0.6660,761.2270,3531.4137
17,3.5800,34.7600,0.7750,0.7877,27.9683,2.2353,119.8437,132.3438
18,3.4800,34.5600,0.7745,0.7830,25.7973,1.8982,138.6131,621.4800
19,3.5800,34.6600,0.7736,0.7795,27.1815,2.0793,127.4238,114.0821
20,-0.3200,38.2600,0.7735,0.7918,25.9457,2.4130,153.0229,277.2862
