lat,lon,temp_c,wind_ms,solar_wm2,precip_mm,elevation_m,water_dist_m,road_dist_m,building_dist_m,s_temperature,s_wind,s_solar,s_precipitation,s_water,s_road,s_land_cover,s_building,s_elevation,suitability,ml_suitability
-4.6200,33.9600,,,,,,220467.4701,336608.3314,353612.9359,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,34.0600,,,,,,226022.0133,332068.0597,348115.8519,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,34.1600,,,,,,231978.6580,327845.2544,342596.6624,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,34.2600,,,,,,238307.0376,323952.1450,337097.9426,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,34.3600,,,,,,244959.4717,320400.5671,331702.7499,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,34.4600,,,,,,251910.3363,317201.8133,326124.6152,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,34.5600,,,,,,259152.8607,314366.4776,320709.1800,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,34.6600,,,,,,265050.7734,311904.2980,315173.7840,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,34.7600,,,,,,259354.7973,308879.3676,309804.6139,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,34.8600,,,,,,254020.4462,303773.9351,304526.2586,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,34.9600,,,,,,249070.7477,298997.1810,298826.0203,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,35.0600,,,,,,244528.8555,291846.1984,293273.5731,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,35.1600,,,,,,240417.6803,283412.4962,287907.9295,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,35.2600,,,,,,236759.4610,275171.5466,282322.7084,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,35.3600,,,,,,233551.6046,267141.0013,276874.5865,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,35.4600,,,,,,230827.8840,259340.2198,269177.7889,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,35.5600,,,,,,228614.2813,251790.3715,259463.8082,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,35.6600,,,,,,226925.5439,244514.5158,249868.2005,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,35.7600,,,,,,225614.3701,235934.1054,240404.9500,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,35.8600,,,,,,224576.8599,226514.2765,231090.1257,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,35.9600,,,,,,217837.4287,217255.8612,221942.2237,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,36.0600,,,,,,208680.3008,208180.1984,212982.5601,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,36.1600,,,,,,199722.8156,199312.0554,204235.7153,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,36.2600,,,,,,190992.8644,190680.1879,195730.0276,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,36.3600,,,,,,182522.8974,182317.9576,187498.1236,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,36.4600,,,,,,174350.6068,174263.9835,179577.4624,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,36.5600,,,,,,166519.6233,165829.0142,172010.8493,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,36.6600,,,,,,159080.1567,156959.5440,164820.2983,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,36.7600,,,,,,152089.4692,148392.3556,156072.7641,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,36.8600,,,,,,145122.0668,140182.6686,147643.4883,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,36.9600,,,,,,137577.5029,132396.7898,139589.9329,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,37.0600,,,,,,130543.2183,125113.6512,131973.4411,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,37.1600,,,,,,124046.9807,118425.8304,124844.4221,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,37.2600,,,,,,118230.5631,111631.6044,118315.9124,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,37.3600,,,,,,113207.5193,102706.1820,112485.4935,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,37.4600,,,,,,109087.3088,94244.5803,106745.6704,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,37.5600,,,,,,103163.1725,86382.9700,100223.9920,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,37.6600,,,,,,92175.2130,79299.7586,93408.7856,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,37.7600,,,,,,81217.0283,73220.9578,86882.0558,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,37.8600,,,,,,70302.2954,68414.5927,80516.8551,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,37.9600,,,,,,59454.6825,64078.8496,74633.2221,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,38.0600,,,,,,48718.7488,56239.0841,70025.9177,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,38.1600,,,,,,38188.4613,49657.2128,64502.4790,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,38.2600,,,,,,28095.6003,44889.7476,57442.1157,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,38.3600,,,,,,19144.4305,42550.7626,49823.0989,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4187
-4.6200,38.4600,,,,,,13632.1995,35662.9965,43118.4793,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4184
-4.6200,38.5600,,,,,,8967.2450,26588.8896,38500.0870,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4187
-4.6200,38.6600,,,,,,8232.4729,18976.5075,32070.4812,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4189
-4.6200,38.7600,,,,,,11449.4964,15309.5561,23926.0560,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,38.8600,,,,,,11126.3435,18834.9645,17836.8985,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4188
-4.6200,38.9600,,,,,,5842.7323,13210.5713,12868.3306,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.3000,1.0000,0.5000,0.3840,0.4107
-4.6200,39.0600,,,,,,5360.6539,4018.3456,4164.8539,0.5000,0.5000,0.5000,0.5000,0.0000,0.6646,0.3000,1.0000,0.5000,0.4106,0.4206
-4.6200,39.1600,,,,,52.0000,1941.8989,472.3324,654.3184,0.5000,0.5000,0.5000,0.5000,0.4232,1.0000,0.4000,0.7572,0.1040,0.3432,0.4029
-4.6200,39.2600,,,,,2.0000,38.1060,4386.0533,4180.2245,0.5000,0.5000,0.5000,0.5000,1.0000,0.6238,1.0000,1.0000,0.0040,0.6054,0.6046
-4.6200,39.3600,,,,,20.0000,3738.0142,1656.1399,1265.9579,0.5000,0.5000,0.5000,0.5000,0.0000,0.9271,0.3000,1.0000,0.0400,0.3751,0.4259
-4.6200,39.4600,,,,,,3961.0032,4691.9304,5001.4359,0.5000,0.5000,0.5000,0.5000,0.0000,0.5898,0.3000,1.0000,0.5000,0.4076,0.4203
-4.6200,39.5600,,,,,,12728.9822,12843.9143,13472.4632,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.3000,1.0000,0.5000,0.3840,0.4109
-4.6200,39.6600,,,,,,23514.4627,23405.4747,23705.7489,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,1.0000,1.0000,0.5000,0.5100,0.5065
-4.6200,39.7600,,,,,,31653.3031,31467.2457,31515.0267,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,1.0000,1.0000,0.5000,0.5100,0.5065
-4.6200,39.8600,,,,,,40942.2702,40794.4495,40777.9198,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,1.0000,1.0000,0.5000,0.5100,0.5063
-4.6200,39.9600,,,,,,50958.5291,50792.9709,50775.6471,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,1.0000,1.0000,0.5000,0.5100,0.5062
-4.6200,40.0600,,,,,,61347.2191,61170.8444,61152.9526,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,40.1600,,,,,,71947.3736,71758.5188,71745.6247,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,40.2600,,,,,,82677.8735,82419.9325,82470.8963,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,40.3600,,,,,,92999.2624,92923.9259,92909.4434,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,40.4600,,,,,,103314.3300,103138.8230,103143.0568,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,40.5600,,,,,,113777.2098,113437.3760,113390.9030,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,40.6600,,,,,,123258.4020,122619.7653,122569.3806,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,40.7600,,,,,,132383.6682,132097.5067,132043.8757,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,40.8600,,,,,,141791.6611,141811.5560,141755.2076,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,40.9600,,,,,,151429.8549,151375.5730,151658.0471,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,41.0600,,,,,,161257.1383,161114.9339,161368.6983,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,41.1600,,,,,,171241.1191,171021.2780,171205.4395,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,41.2600,,,,,,181356.0788,181067.3590,181189.4286,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,41.3600,,,,,,191581.4309,191213.0098,191297.7702,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
-4.6200,41.4600,,,,,,201900.5613,201296.6550,201511.9093,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.5000,0.4020,0.4186
