,lat,lon,ml_suitability,suitability,temp_c,wind_ms,precip_mm,water_dist_m
1,1.1800,35.5600,0.8275,0.8551,18.6987,0.7568,1451.1743,316.0466
2,1.0800,35.6600,0.8210,0.8596,21.3859,0.7237,725.4651,136.3186
3,1.0800,35.3600,0.8124,0.8438,16.7471,0.7951,1082.5683,1211.5014
4,1.4800,35.3600,0.8102,0.8533,21.0458,0.9688,708.0270,1573.8827
5,1.2800,35.5600,0.8077,0.8153,19.1858,0.7161,1533.2564,564.4687
6,1.3800,35.5600,0.7918,0.8518,20.7850,0.8227,1096.0327,106.8059
7,-1.8200,35.9600,0.7792,0.7900,21.5003,1.6121,193.3478,374.5677
8,0.3800,35.8600,0.7778,0.7854,22.1109,0.7191,248.2203,72.6406
9,-0.8200,37.2600,0.7776,0.7984,20.6757,1.0668,174.3703,329.6310
10,0.3800,36.2600,0.7758,0.7884,19.7337,1.2525,368.8987,157.8929
11,-0.0200,37.8600,0.7752,0.7895,22.6702,1.9080,156.4860,226.7708
12,0.3800,35.7600,0.7751,0.7831,21.1733,0.8320,243.8720,127.0360
13,0.0800,36.0600,0.7741,0.7935,20.1699,0.8652,296.5892,622.8380
14,1.3800,35.1600,0.7725,0.7893,19.5523,0.8478,632.0584,1092.1929
15,-1.4200,37.9600,0.7706,0.7796,22.3860,2.3726,167.8597,195.2907
16,3.5800,34.7600,0.7705,0.7807,27.9683,2.2353,119.8437,132.3438
17,3.5800,34.6600,0.7702,0.7741,27.1815,2.0793,127.4238,114.0821
18,3.4800,34.5600,0.7685,0.7754,25.7973,1.8982,138.6131,621.4800
19,0.5800,35.8600,0.7675,0.7822,23.5087,0.6400,273.8422,360.7292
20,-1.5200,36.5600,0.7669,0.7705,21.5326,1.9247,158.4187,186.9900
